"","datetime","city","state","country","shape","duration (seconds)","duration (hours/min)","comments","date posted","latitude","longitude"
"1","10/13/2012 02:00","benidorm (spain)","","","changing","660.000","11 minutes","Best UFO Sighting Footage of 2012.","11/4/2012","38.541057",-0.122494
"2","10/30/2005 04:31","l&#180;arbo&ccedil; (catalunya) (spain)","","","disk","2220.000","37 min","OBJETO TIPO DISCO VISTO EN DEP&Ograve;SITO DE AGUA &#44 ENCIMA ANTENA DE R&Agrave;DIO L&#180;ARBO&Ccedil; 106.8 FM MET&Agrave;LICO. ESTATICO POSADO ENCIMA DEL CUERPO D","11/3/2005","41.265988",1.602034
"3","1/11/2002 24:00","lousa (portugal)","","","circle","7.000","7seconds","The objet was round and white luminous fliying at a speed a bit faster than a plane i saw it from a distance of 3Km (it&#39s the distance","11/16/2002","40.114719",-8.244004
"4","11/1/2011 03:00","pla (philippines)","","","triangle","60.000","30-60 seconds","Slow and silent Triangle UFO with red lights pass by . PHILIPPINES.","5/15/2013","42.708910",1.864656
"5","11/13/2004 21:10","vila nova de gaia (portugal)","","","oval","30.000","30 seconds","when i was arriving home i see a blue light coming down from the sky very fast &#44then the light become slow and disapear into the woods","12/3/2004","41.123876",-8.611785
"6","11/16/2005 24:00","balerma (spain)","","","disk","1800.000","30 minutes","Saucer shaped object(cloud?) It looked like a cloud or surrounded by it.Seen over a bay in Balerma/Adra(southern spain) but with a clea","12/16/2005","36.732719",-2.886194
"7","1/15/1968 12:00","el  escorial (spain)","","","circle","7200.000","2 hrs","Cigar shaped object steals 2 hours of two children&#39s time","12/23/2002","40.583347",-4.127044
"8","1/16/2003 04:25","marbella (spain)","","","other","300.000","5 minutes","the flying object was round with three flower petal around the center&#44 it was silver&#44 with black cirles with silver frames visible in t","3/4/2003","36.510071",-4.882447
"9","1/17/2012 11:45","palma (spain)","","","changing","900.000","15 min","a orange matalic craft changine form making it apear soft in nature aproxemetly 100 meters off the ground&#44traveling in a westerly direc","1/24/2012","39.575158",2.653674
"10","11/8/2012 23:30","porto (portugal)","","","light","30.000","30 seconds","The speed the format&#44 everything.","11/19/2012","41.156689",-8.623925
"11","12/12/2003 17:30","bilbao","","","oval","900.000","15 min","Happened in Bilbao 17:30 Saturday.One craft flaying in right line&#44 and at the same time&#44 it was balanced on its axis about 45&#186; apro","6/4/2004","43.263013",-2.934985
"12","12/21/2003 17:25","bilbao (spain)","","","oval","600.000","10 min","Objeto ovalado&#44 que se movia con extra&ntilde;os giros de 20&#186; sobre su centro&#44 en perpendicular al eje que marcaba su movimiento lineal de tra","3/2/2004","43.263013",-2.934985
"13","1/22/2008 19:20","cuenca (ecuador)","","","light","60.000","1 minute","0020 hours GMT I saw a white bright pinpoint  light brigher than Jupiter travelling South to North 2.5 faster than a satellite&#44","2/14/2008","40.070393",-2.137416
"14","12/23/2000 19:00","la madrid (mexico)","","","sphere","3600.000","1 hour","White orb of light hovering over Sierra Madre Mountains during Christmas week.","11/21/2010","40.416775",-3.70379
"15","1/25/2010 11:30","begues (catalonia&#44 spain)","","","disk","120.000","2min","((HOAX??))  A total circle no lights &#44 only a litte ligth down of  blue","4/13/2010","41.330975",1.922643
"16","1/25/2010 13:11","barcelona (spain)","","","","120.000","2min","I and my friend have seen a black circular plate flying over the trees. It entered inside the wood and after 2 minutes aprox. it got ou","2/14/2010","41.385064",2.173403
"17","1/26/2012 19:35","palma de mallorca (spain)","","","sphere","300.000","5 minutes","Orange ball of fire flighing from south and turning west over Palma de Mallorca&#44 Spain. 26th January 2012","5/29/2012","39.575158",2.653674
"18","1/27/2002 20:30","chiclana (spain)","","","circle","6.000","6 seconds","the big cricle light","2/22/2002","36.416505",-6.14611
"19","1/29/2003 07:30","mazarron. murcia (spain)","","","light","40.000","40 secs","Bright light at dawn&#44 slowly moving west east.","3/4/2003","37.595818",-1.314735
"20","1/29/2003 20:00","mazarron (spain)","","","light","120.000","approx: 2 mins","HBCCUFO CANADIAN REPORT:  Bright white light moving very slowly west to east","8/1/2003","37.595818",-1.314735
"21","12/9/2004 22:05","lourinha (portugal)","","","triangle","6.000","6 sec.","Triangle shaped lights disapeard on the sky","12/14/2004","39.241485",-9.312951
"22","1/30/2012 23:30","coimbra (portugal)","","","circle","180.000","3 min","Big object for 3 minutes moving up and down and spining slow. Take some pictures.","2/3/2012","40.203315",-8.410257
"23","1/5/1974 16:00","san antonio&#44 ibiza (spain)","","","fireball","10800.000","3 hours","I was sitting with two friends on the sea wall of San Antonio harbour. The UFO appeared from over the horizon and flew up&#44 performed a","5/24/1999","39.020010",1.482148
"24","2/13/2004 22:00","barcelona (spain)","","","other","10800.000","3 hours+","Strange cloud over Barcelona&#44 Spain","3/2/2004","41.385064",2.173403
"25","2/14/2003 23:15","bilbao (spain)","","","diamond","120.000","2 minutes","I was driving home&#44 from a party where I have been drinking a little. I was alone in the darkness when I suddenly saw a huge craft whic","3/4/2003","43.263013",-2.934985
"26","2/14/2007 19:00","costa da caparica (portugal)","","","light","120.000","2 minutes","red light crossing the sky on the shoreline","2/24/2007","38.644684",-9.233385
"27","2/14/2009 21:30","carvoeiro (portugal)","","","oval","600.000","10 minutes","Very Bright yellow light  high in the sky in Algarve","3/19/2009","37.098519",-8.469395
"28","2/14/2010 22:35","al andalus (kuwait)","","","circle","120.000","1-2 min","slow moving light switched off before running away faster on lower level","4/13/2010","37.544271",-4.727753
"29","2/3/2014 19:40","rojales (spain)","","","triangle","60","60 seconds","A triangle with three bright lights &#33&#33","2/7/2014","38.086048",-0.723586
"30","3/10/2005 17:45","beja (portugal)","","","cigar","30","30 s","Cigar shaped aircraft","5/11/2005","38.015304",-7.862731
"31","3/14/2001 20:15","alacanti (spain)","","","other","20","20 secs","transparent object","4/1/2001","38.345996",-0.490686
"32","3/21/2001 04:00","braga (portugal)","","","light","480","8 minutes","A very strong light and then something like an earthquak during almost 10 minutes&#44 that makes marks in the fiels...","4/1/2001","41.545449",-8.426507
"33","3/22/2009 22:45","sintra (portugal)","","","oval","120","2 minutes","strange turquoise light over Portugal sea on sunday night.","4/14/2009","38.802869",-9.381659
"34","3/26/2012 24:00","barcelona (spain)","","","fireball","2","segundos","Dos avistamientos bolas en el cielo sin estela.","4/18/2012","41.385064",2.173403
"35","3/4/1986 24:00","marbela (spain)","","","sphere","480","8 mins","mijas costa spain sphere  8 mins 1986 four of us saw this object &#44a clear afternoon","10/30/2006","36.510071",-4.882447
"36","3/7/2002 03:45","almeria (spain)","","","sphere","30","30 seconds","it was a very bright light &#44 large and circular moving that caught our attention","8/28/2002","36.834047",-2.463714
"37","4/10/2014 14:04","barcelona (spain)","","","cylinder","30","30 seconds","2 small&#44 cylindrical shaped ufo&#39s in sky over Barcelona.","4/11/2014","41.385064",2.173403
"38","4/12/2005 23:35","malaga (spain)","","","light","180","3 minutes","I was outside at 23.35 pm looking at the sky as I would normally do as I live in Spain","4/16/2005","36.721261",-4.421266
"39","4/15/2006 22:30","malaga (spain)","","","fireball","60","1 minute","Malaga&#44 Spain - red/blue luminous objects with golden wake flying horizontaly in a group","5/15/2006","36.721261",-4.421266
"40","4/15/2006 23:30","marbella&#44 costa del sol (spain)","","","fireball","90","90 seconds","Fireballs lighting up the southern Spanish sky on the night of 15th of April - 16th of April.","5/15/2006","36.500216",-4.804383
"41","4/26/2011 16:00","santarem (portugal)","","","light","120","2 minutes","goodday&#33 =)  my boyfriend and i were giving a walk and we were trying out the zoom of his new video camera on a plane and right next to","7/17/2011","39.236669",-8.685994
"42","4/28/2010 06:43","paredes de coura (portugal)","","","unknown","60","1 min","A  strange flying object almost crash into my car","5/12/2010","41.913112",-8.561438
"43","4/7/2012 21:50","assafora (portugal)","","","unknown","30","30 seconds","Coordinates of observation point N39&#186; W9.4&#170; time of event: about 21h50 GMT event duration: less than 1 minute  was watching and admirin","4/18/2012","38.904367",-9.408632
"44","5/15/1998 04:30","puerto banus (spain)","","","circle","60","app. 1 minute","A star like shape but much brighter.","12/5/2001","36.487500",-4.9525
"45","5/24/2012 23:20","spain","","","cylinder","420","5-7 minutes","UFO seen 2 CONSECUTIVE TIMES&#44 SAME HEIGHT&#44 SAME LOCATION in Barcelona&#44 Spain&#44 5/24/2012&#44 23:20&#44  above Tibidabo mount.","5/29/2012","40.463667",-3.74922
"46","5/30/2002 02:30","c&quot;an picafort (majorca) (spain)","","","circle","60","1min","my husband and i where on holiday in  majorca we were sitting on the balcony fourth floor up.it was a clear night the sea was to the ri","7/26/2002","39.745681",3.130961
"47","5/3/2006 23:30","el puerto de santa maria (spain)","","","flash","2","1-2 seconds","Immense Bright Blue Flash over Cadiz.","10/31/2008","36.600595",-6.232909
"48","6/11/2004 22:20","vila nova de gaia (porto) (portugal)","","","light","3600","about 1 hour","many lights moving&#44 one at a time in many directions","6/18/2004","41.123876",-8.611785
"49","6/1/1976 22:00","cascais (portugal)","","","triangle","2","2 secs","20 years ago my father saw 3 triangular shaped objects &quot;dancing&quot; in the sky above him.","8/28/2003","38.697057",-9.422295
"50","6/1/1980 00:30","portugal","","","cigar","10","10 sec","from portugal.....red cigar upon douro river","7/16/2003","39.399835",-8.22491
"51","6/1/1981 20:00","samora correia (portugal)","","","disk","180","3:00","when i was 6 years old me and my cousin&#44of the same age&#44saw an object 10 meters up on the sky .wee where going from my aunt&#180;s house","8/19/2012","38.935239",-8.873597
"52","6/1/2004 22:00","portugal","","","light","180","3 mn","bright light over all portugal","6/4/2004","39.399835",-8.22491
"53","6/1/2004 23:00","portugal","","","circle","3600","about an hour","20 People saw a UFO for 500 km in Portugal","6/4/2004","39.399835",-8.22491
"54","6/1/2004 23:00","portugal","","","fireball","2700","45 minutes","An imense light crossed Portugal during 45 minutes&#44 making no sound&#44 thousands saw it  &#33","6/18/2004","39.399835",-8.22491
"55","6/1/2004 23:15","portugal","","","light","600","10 minutes","Bright white light moving at light speed with comet like tail&#44 leaving cone shaped trail at source.","6/4/2004","39.399835",-8.22491
"56","6/1/2004 23:20","portugal","","","cone","420","00:07 minutes","It was around 23:15hrs I was observing the the sky&#44when sudently I saw what appear to be a comet with a long very bright conical tail.I","6/4/2004","39.399835",-8.22491
"57","6/2/2004 23:05","albufeira (portugal)","","","triangle","180","2-3mins","Transparent triangle with bright light follwed by shaft of light to the sky.","7/8/2004","37.089072",-8.24788
"58","6/22/2008 02:50","san sebastiam (spain)","","","formation","300","5 min.","UFO formation over San Sebastian&#44 Spain","6/23/2010","43.318334",-1.981231
"59","6/23/2009 23:00","talavera de la reina","","","light","300","5 minutes","Talavera de la Reina (Toledo) Spain","8/5/2009","39.962884",-4.830454
"60","6/25/2003 00:15","barcelona (spain)","","","light","1","second","One green light that made a fast loop in the dark sky&#44 and disappeared&#44 high above the mountains","7/16/2003","41.385064",2.173403
"61","6/26/2003 23:00","cascais (portugal)","","","light","240","aprox 4 min","A moving star? don&#39t think so....","8/28/2003","38.697057",-9.422295
"62","6/26/2005 12:02","fuengirola (spain)","","","light","180","3 mins","a light following another then turning away and disapearing.","7/5/2005","36.544148",-4.624944
"63","6/26/2010 23:30","san pascual (philippines)","","","light","900","15 mins?","nobody never seen this before so it was very strange to see something like this","7/6/2010","40.881711",-4.755569
"64","6/29/2005 02:00","ibiza (spain)","","","sphere","180","3 minutes","Luz anaranjada brillante&#44que se mueve horizontalmente y luego verticalmente para convertirse en estrella.","5/15/2006","38.908539",1.426558
"65","6/30/1996 21:00","almudevar (spain)","","","circle","60","1minute","I saw a bright object dicending quickly strait from the sky.this object could be 15 miles away from us. It was like an orange sfere.","3/28/2004","42.043311",-0.581353
"66","6/6/1997 03:00","spain","","","changing","600","10 min.","It hovered near to our car for 10 min.&#44 going from one window to another&#44 changing from a circular shape&#44 to an eliptical&#44 to a square","1/28/1999","40.463667",-3.74922
"67","7/13/2011 23:00","jalon (spain)","","","fireball","1383","23:03","Fireball in Jalon&#44 Spain.","7/17/2011","38.740654",-0.011014
"68","7/15/2001 23:00","pueto de mazarron (mercia) (spain)","","","unknown","120","2 mins","object of dull star light moving north south accross sky","11/20/2001","37.564007",-1.266238
"69","7/15/2012 21:00","ibiza (spain)","","","circle","900","15 minutes","We were watching an outdoor concert on the Spanish resort of IBIZA in July when someone pointed to the sky and about twenty of us witn","9/24/2012","38.908539",1.426558
"70","7/16/2001 23:00","mazarron (spain)","","","","20","20secs","Flashing pinpricks of light of very high intensity white light &#44over night sky two nights running.","8/5/2001","37.595818",-1.314735
"71","7/16/2001 23:03","pueto de mazarron (spain)","","","other","1800","30 mins","lights&#44 high flying objects and an oval orange object","11/20/2001","37.564007",-1.266238
"72","7/17/2001 20:40","puerto de mazarron (spain)","","","","1800","30 mins","dull objects very high  laser type lights","11/20/2001","37.564007",-1.266238
"73","7/18/2001 20:00","puerto de mazarron (spain)","","","","1800","30 mins","two objects and a  bright flash","11/20/2001","37.564007",-1.266238
"74","7/22/2003 18:00","cordoba (argentina)","","","oval","60","one minute","sylver oval shape moving straight and then dissaper","1/21/2008","37.888175",-4.779383
"75","7/24/2006 02:35","conil (spain)","","","oval","60","less than a minute","Three oval-shaped&#44 fast-moving&#44 bright aircraft that make no sound weave across the sky at lightning speed.","10/30/2006","36.278099",-6.086207
"76","7/29/2003 23:35","alcochete (portugal)","","","triangle","120","2 min","Vasco da Gama Sight","8/1/2003","38.756275",-8.96287
"77","7/30/2011 01:00","sant pere pescador (spain)","","","circle","600","10 minutes","I was sitting on the beach in the city I listed in the information and I saw  dots in the sky that looked similar to stars however they","8/5/2012","42.188824",3.081415
"78","7/7/2000 11:00","torrevieja (spain)","","","triangle","3600","1 hour","we all stopped at a  shop  in torrevieja / alicante spain and heard whizzling . as we looked up to the sky &#44 we saw three triangle shap","7/11/2000","37.9847",-0.680823
"79","7/8/2004 13:30","mazarron","","","","2100","35 mins","Very odd Clouds behaving uncloudlike","7/25/2004","37.595818",-1.314735
"80","8/10/1989 21:00","gibraltar","","","other","2700","45 minutes","It was a typically hot Summer&#180;s evening in Gibraltar. I enjoyed walking my dog and on this particular day I had chosen a relatively qui","2/14/2010","36.140751",-5.353585
"81","8/10/1998 22:00","trabuco","ca","","light","1800","30 minutes","It was approx. 10:30 PM when my mother did her usual routine of walking the dogs before going to bed.  She lives in a rural area within","11/1/1998","36.383213",-6.215447
"82","8/12/1998 22:00","coimbra (portugal)","","","disk","180","3 minutes","It was standing there&#44 looking at us&#44 i don&#39t know why","5/24/2005","40.203315",-8.410257
"83","8/15/1978 01:00","porto (portugal)","","","sphere","3","3sec","short&#44colorfull&#44 fast&#44 suden&#44 no sound","8/5/2001","41.156689",-8.623925
"84","8/15/1996 21:00","aveiro (portugal)","","","light","60","1 minute","Star-like Light in the sky made 90 degree turns","2/14/2006","40.640506",-8.653754
"85","8/15/1997 00:00","coimbra (portugal)","","","circle","120","2 minutes","The object was hovering in one place and then it was gone","2/1/2007","40.203315",-8.410257
"86","8/19/2007 22:50","gibraltar","","","other","30","30 seconds","Two star-like lights travelling in perfect line with eachother.   ((NUFORC Note:  ISS in formation with Space Shuttle??  PD))","10/8/2007","36.140751",-5.353585
"87","8/20/2001 01:20","calahonda (spain)","","","circle","15","15 seconds","Lights zig-zaging","10/12/2001","36.7",-3.416667
"88","8/2/2003 22:30","blanes (spain)","","","light","240","4 minutos aprox.","Luz brillante muy r&Atilde;&#161;pida&#44 dos aviones intentan interceptarla.","7/16/2006","41.675995",2.790229
"89","8/22/2009 17:30","marbella (spain)","","","triangle","60","1 minute","Mircrolight?","12/12/2009","36.510071",-4.882447
"90","8/26/2008 14:00","spain","","","other","240","3-4 mins","We are from the UK&#44 and on our flight back from Majorca&#44 Spain&#44 on the plane when looking out of the window&#44 we noticed a very long and","10/31/2008","40.463667",-3.74922
"91","8/28/2002 22:30","colonia st. jordi (spain)","","","triangle","15","15 sec.","A triangle with rounded corners. 1 light like a circle at any corner. Dimmt not bright shining. Soundless flying about 1000 - 3000 m hi","9/13/2002","41.406897",2.132327
"92","8/30/2003 22:05","barcelona (spain)","","","formation","15","ca 15 seconds","I saw 3 lightballs comming towards me as if an airplain was comming in at about 5 miles distance. We all were watching incomming airtra","9/4/2003","41.385064",2.173403
"93","8/30/2004 21:45","mazarron (murcia) (spain)","","","flash","60","60 seconds about","Bright white lights","9/1/2004","37.595818",-1.314735
"94","8/30/2007 19:30","torrenueva (granada) (spain)","","","sphere","120","some minutes","Spherical object rotating over itself over the sea.","10/8/2007","38.638923",-3.361564
"95","8/4/2008 03:40","algarve (portugal)","","","circle","10","10 seconds","Two orange balls dancing playfully in the sky and travelling at great speed","8/12/2008","37.017954",-7.930834
"96","8/6/2012 01:30","arouca (trinidad/tobago)","","","changing","1200","20 minutes","10 balls of fire floating slowly across the sky. soucouyant or ufo?","8/19/2012","40.932149",-8.245099
"97","8/7/2001 04:00","aveiro (portugal)","","","other","1800","30 minutes","A very large bowl-shaped UFO seen near a beach&#44 with a blue light rouding it and making a humming noise...","6/18/2003","40.640506",-8.653754
"98","8/8/1996 03:30","cuenca (eof&#44 in the high andes mts)  (ecuador)","","","light","2","a few seconds","In auto driving thru Cajas Nat. Pk&#44 10&#44000ft/ Suddenly extremely bright light flashed across the road just a few yards high and dissaap","11/20/2002","40.070393",-2.137416
"99","9/12/2005 01:00","algeciras (spain)","","","light","360","6 minutes","A very big light... i was sleeping..  after the light&#44 i was dizzy. when i wake up&#44 i had blood in my foot.","11/3/2005","36.140759",-5.456233
"100","9/12/2008 07:43","malaga (spain)","","","teardrop","4","4 sec","The UFO was smaller than a helicopter to put in perspective and had a white hue around the object.","10/31/2008","36.721261",-4.421266
"101","9/13/2010 00:51","cordoba (spain)","","","circle","5","5 seconds","UFO (Orb) Cordoba&#44Spain Sept 13th. 2010      What do you believe??    ..stealth technology?","11/21/2010","37.888175",-4.779383
"102","9/15/2001 21:30","beja (portugal)","","","oval","2400","40 min","I leave in the south of my country near to spain.In september 2001 i was in a farm&#44in the country and i saw somme lights like the batma","5/27/2003","38.015304",-7.862731
"103","9/21/2003 22:50","abrantes (portugal)","","","sphere","10","10 seconds","It was moving slowly and just disapeared.","9/28/2003","39.462105",-8.198648
"104","9/26/2010 21:20","almeria (spain)","","","fireball","60","1 minute","very bright orange light in the sky.","11/21/2010","36.834047",-2.463714
"105","9/29/2012 01:04","portugal","","","other","240","3-4 minutes","Boomerang shaped object or light traveling extremely fast in Lisbon&#44 Portugal.","10/30/2012","39.399835",-8.22491
"106","1/1/2008 24:00","grand canary island","","","circle","600.000","10 mins","7 bright lights flying very close together.  ((NUFORC Note:  Possible party lanterns&#44 but that is a guess.  Many other reports.  PD))","1/21/2008","27.920220",-15.547437
"107","12/12/2008 23:57","los cristianos (tenerife)","","","triangle","60.000","1 minute","Triangle of lights flying silent&#44 faster than an helicopter.","1/10/2009","28.051200",-16.709685
"108","2/4/2003 22:30","playa del cura (grand canaria island)","","","light","1800","30 minutes approx","Two bright reddish lights appearing horizontally in the night sky off the coast of Gran Canaria repaced 2 or 3 times by similar objects","4/22/2003","27.795643",-15.733735
"109","4/11/2003 09:30","los realejos (tenerife island/spain)","","","oval","20","00:00:20","a oval craft  moved in oposite direction&#180;s with no lights and no noise.","4/22/2003","28.385473",-16.584196
"110","6/13/2008 13:00","playa de las americas (spain)","","","cigar","1","1 second max","Incredibly fast object moving across the horizon in a fraction of a second.","7/5/2008","28.057143",-16.729709
"111","7/10/2008 18:00","lanzarote (canary islands)","","","other","240","3-4 minutes","2 witnesses. 4-5 Minutes.  not illusion. did not dissapear behind horizon. Canary Islands second ufo incident.","8/5/2009","29.046854",-13.589973
"112","7/19/2009 00:00","costa adeje (tenerife)","","","triangle","10","5-10 seconds","zig zag across clear sky covering the full sky in a few seconds","8/5/2009","28.076686",-16.731949
"113","8/18/2013 12:40","tenerife south airport (tenerife)","","","disk","120","2 minutes","It was a greyish black saucer hovering over Tenerife south airport that moved at supersonic speed.","9/9/2013","28.045772",-16.576216
"114","9/18/2002 18:00","tenerife (canary islands)","","","circle","3600","1hour","See photos sent to your email address","9/28/2002","28.291564",-16.62913
